,#,num_hidden_layers,neurons_per_layer,CANN,embedding_dim,batch_size,epochs,training_loss,testing_loss,bell_dev_data,portfolio_avg,alpha
54,54,3,"(100, 80, 60)",0,2,100000,50,0.2959914207458496,0.29055190086364746,0.42497778,0.005896920671184558,0.1
55,55,3,"(100, 80, 60)",0,2,100000,100,0.29593178629875183,0.29039862751960754,0.42747086,0.0057425706453801025,0.1
56,56,3,"(100, 80, 60)",0,2,100000,100,0.29583826661109924,0.2903277277946472,0.42703113,0.005778273857593668,0.1
57,57,3,"(100, 80, 60)",0,2,100000,100,0.29621461033821106,0.2909187376499176,0.42123097,0.006137809542601205,0.1
58,58,3,"(100, 80, 60)",0,2,100000,100,0.2960743308067322,0.2903171181678772,0.43338132,0.005394505610784344,0.1
59,59,3,"(100, 80, 60)",0,2,100000,500,0.296525776386261,0.2913481295108795,0.4181703,0.006342912074596897,0.1
60,60,3,"(100, 80, 60)",0,2,100000,500,0.2959287166595459,0.29037296772003174,0.4280652,0.005706453299533537,0.1
61,61,3,"(100, 80, 60)",0,2,100000,500,0.29593461751937866,0.290406197309494,0.4273124,0.005752244892140944,0.1
62,62,3,"(100, 80, 60)",0,2,100000,500,0.29595163464546204,0.2904640734195709,0.4262434,0.005817964291264568,0.1
63,63,3,"(100, 80, 60)",0,2,600000,50,0.2959385812282562,0.2904239892959595,0.42693287,0.005775459207414934,0.1
64,64,3,"(100, 80, 60)",0,2,600000,50,0.29593855142593384,0.2904239892959595,0.42693287,0.005775459429516941,0.1
65,65,3,"(100, 80, 60)",0,2,600000,50,0.2959385812282562,0.2904239892959595,0.42693287,0.0057754581379706555,0.1
66,66,3,"(100, 80, 60)",0,2,600000,50,0.2959385812282562,0.2904239892959595,0.42693287,0.005775458865265373,0.1
67,67,3,"(100, 80, 60)",0,2,600000,100,0.2959385812282562,0.2904239892959595,0.42693287,0.005775458985171867,0.1
68,68,3,"(100, 80, 60)",0,2,600000,100,0.2959386110305786,0.29042401909828186,0.42693293,0.005775455680239029,0.1
69,69,3,"(100, 80, 60)",0,2,600000,100,0.29593855142593384,0.2904239892959595,0.42693287,0.005775459163322175,0.1
70,70,3,"(100, 80, 60)",0,2,600000,100,0.2959385812282562,0.2904239892959595,0.42693287,0.005775457637908517,0.1
71,71,3,"(100, 80, 60)",0,2,600000,500,0.2959385812282562,0.2904239892959595,0.4269329,0.0057754567636673325,0.1
72,72,3,"(100, 80, 60)",0,2,600000,500,0.2959385812282562,0.2904239892959595,0.4269329,0.005775457197882437,0.1
73,73,3,"(100, 80, 60)",0,2,600000,500,0.2959385812282562,0.2904239892959595,0.42693287,0.005775458612600983,0.1
74,74,3,"(100, 80, 60)",0,2,600000,500,0.2959385812282562,0.2904239892959595,0.4269329,0.005775457027285612,0.1
75,75,3,"(100, 80, 60)",0,3,10000,50,0.295939564704895,0.29032501578330994,0.4295988,0.005614427761577592,0.1
